contract_number,product_code,product_name
79076673,MIEN,MICRONEGOCIO CREDIPERSONAL
79069406,MIEN,MICRONEGOCIO CREDIPERSONAL
79056090,REDF,BAJO COSTO FORMAL
79055970,FTCS,CREDINMEDIATO SIMPLE QUINCENAL
79055405,FTCS,CREDINMEDIATO SIMPLE QUINCENAL
79050295,MIDN,MICRONEGOCIO DUEÑO
79050345,FTCS,CREDINMEDIATO SIMPLE QUINCENAL
79049290,FTCS,CREDINMEDIATO SIMPLE QUINCENAL
79012882,FTCS,CREDINMEDIATO SIMPLE QUINCENAL
79012861,MIDN,MICRONEGOCIO DUEÑO
79011090,FTCS,CREDINMEDIATO SIMPLE QUINCENAL
79006519,MIDN,MICRONEGOCIO DUEÑO
79000518,MIDN,MICRONEGOCIO DUEÑO
79000713,FTCS,CREDINMEDIATO SIMPLE QUINCENAL
78998770,MIDN,MICRONEGOCIO DUEÑO
78993015,MIDN,MICRONEGOCIO DUEÑO
78992630,MIDN,MICRONEGOCIO DUEÑO
78967619,FTCS,CREDINMEDIATO SIMPLE QUINCENAL
78956147,FTCS,CREDINMEDIATO SIMPLE QUINCENAL
78947308,FTCS,CREDINMEDIATO SIMPLE QUINCENAL
78771860,FRAQ,CREDINMEDIATO INICIAL QUINCENAL
78301194,FRAQ,CREDINMEDIATO INICIAL QUINCENAL
78096133,FRAQ,CREDINMEDIATO INICIAL QUINCENAL
78050884,FRAQ,CREDINMEDIATO INICIAL QUINCENAL
74920056,ARCP,CREDIPOPULAR LR
78994523,,
78997377,,
79017552,,
79024269,,
79033310,,
79074873,,
79092761,,
79120180,,
07305036,FLRQ,CREDINMEDIATO PLUS QUINCENAL
79032192,MIDN,MICRONEGOCIO DUEÑO
79038024,FTCS,CREDINMEDIATO SIMPLE QUINCENAL
79060936,FTCS,CREDINMEDIATO SIMPLE QUINCENAL
79083763,FRAQ,CREDINMEDIATO INICIAL QUINCENAL
79100682,REDF,BAJO COSTO FORMAL
79114649,MIDN,MICRONEGOCIO DUEÑO
79117916,FTCS,CREDINMEDIATO SIMPLE QUINCENAL
79118104,MIEN,MICRONEGOCIO CREDIPERSONAL
79119376,FTCS,CREDINMEDIATO SIMPLE QUINCENAL
79125150,MIDN,MICRONEGOCIO DUEÑO
79141342,,
79145988,,
